RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGROINDUSTRIA;PRODUCAO ALIMENTICIA;SIM;;1947049;AGROINDUSTRIA  22/04/2014 22/11/2017;22/04/2014;22/11/2017;2760;2400;2400;2,5;;1311;1,8307;668,1922;0,8352;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,4176 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO A DISTANCIA - PROGRAMA EJA INTEGRADA - EPT (SEB/MEC);EAD;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;ANALISE E DESENVOLVIMENTO DE SISTEMAS;INFORMACAO E COMUNICACAO;NÃO;;1983382;ANALISE E DESENVOLVIMENTO DE SISTEMAS  16/03/2015 31/12/2017;16/03/2015;31/12/2017;2360;2000;2000;1,5;;1022;1,9569;714,2857;0,8929;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,4464 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO A DISTANCIA - SEM PROGRAMA ASSOCIADO;EAD FP;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;CIENCIAS BIOLOGICAS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;1983384;CIENCIAS BIOLOGICAS  16/03/2015 31/12/2018;16/03/2015;31/12/2018;3304;3200;3200;2,5;;1387;2,3071;842,1053;1,0526;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5263 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO PRESENCIAL - PROGRAMA EJA INTEGRADA - EPT (SEB/MEC);PRESENCIAL;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;MATEMATICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;1983385;MATEMATICA  16/03/2015 31/12/2018;16/03/2015;31/12/2018;3376;3200;3200;2,5;;1387;2,3071;842,1053;1,0526;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,5263 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGROINDUSTRIA;PRODUCAO ALIMENTICIA;SIM;;1983387;AGROINDUSTRIA  16/03/2015 31/12/2018;16/03/2015;31/12/2018;2600;2400;2400;2,5;;1387;1,7304;631,5789;0,7895;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,3947 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;PRODUCAO DE GRAOS;RECURSOS NATURAIS;SIM;;1983388;PRODUCAO DE GRAOS  16/03/2015 31/12/2017;16/03/2015;31/12/2017;2600;2400;2400;2,5;;1022;2,3483;857,1429;1,0714;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,5357 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;1983389;ZOOTECNIA  16/03/2015 31/12/2019;16/03/2015;31/12/2019;3938;3600;3600;2,5;;1752;2,0548;750,0000;0,9375;;;01/01/2023;31/12/2023;2;0;0;0;0;182,5; 0,5000 ; 0,4688 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM AGROPECUARIA;RECURSOS NATURAIS;SIM;INTEGRADO;2021342;TECNICO EM AGROPECUARIA INTEGRADO 15/02/2016 30/10/2019;15/02/2016;30/10/2019;3400;1200;3200;2,5;;1354;2,3634;862,6292;1,0783;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5391 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;ANALISE E DESENVOLVIMENTO DE SISTEMAS;INFORMACAO E COMUNICACAO;NÃO;;2015324;ANALISE E DESENVOLVIMENTO DE SISTEMAS  22/02/2016 01/03/2018;22/02/2016;01/03/2018;2360;2000;2000;1,5;;739;2,7064;987,8214;1,2348;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,6174 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;PRODUCAO DE GRAOS;RECURSOS NATURAIS;SIM;;2015328;PRODUCAO DE GRAOS  22/02/2016 01/03/2018;22/02/2016;01/03/2018;2600;2400;2400;2,5;;739;3,2476;1.185,3857;1,4817;;;01/01/2023;31/12/2023;2;0;0;0;0;182,5; 0,5000 ; 0,7409 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGROINDUSTRIA;PRODUCAO ALIMENTICIA;SIM;;2015330;AGROINDUSTRIA  22/02/2016 01/03/2018;22/02/2016;01/03/2018;2600;2400;2400;2,5;;739;3,2476;1.185,3857;1,4817;;;01/01/2023;31/12/2023;5;0;0;0;0;182,5; 0,5000 ; 0,7409 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;2015334;ZOOTECNIA  22/02/2016 30/12/2020;22/02/2016;30/12/2020;3938;3600;3600;2,5;;1774;2,0293;740,6990;0,9259;;;01/01/2023;31/12/2023;6;0;0;0;0;182,5; 0,5000 ; 0,4629 ; 1,3888 ; 3,4720 ; 1,7360 ; 5,2080 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;CIENCIAS BIOLOGICAS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2015336;CIENCIAS BIOLOGICAS  22/02/2016 30/12/2019;22/02/2016;30/12/2019;3304;3200;3200;2,5;;1408;2,2727;829,5455;1,0369;;;01/01/2023;31/12/2023;2;0;0;0;0;182,5; 0,5000 ; 0,5185 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;MATEMATICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2015338;MATEMATICA  22/02/2016 30/12/2019;22/02/2016;30/12/2019;3376;3200;3200;2,5;;1408;2,2727;829,5455;1,0369;;;01/01/2023;31/12/2023;2;0;0;0;0;182,5; 0,5000 ; 0,5185 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;QUIMICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2015339;QUIMICA  22/02/2016 30/12/2019;22/02/2016;30/12/2019;3304;3200;3200;2,5;;1408;2,2727;829,5455;1,0369;;;01/01/2023;31/12/2023;2;0;0;0;0;182,5; 0,5000 ; 0,5185 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM AGROPECUARIA;RECURSOS NATURAIS;SIM;INTEGRADO;2143620;TECNICO EM AGROPECUARIA INTEGRADO 15/02/2017 15/09/2020;15/02/2017;15/09/2020;3400;1200;3200;2,5;;1309;2,4446;892,2842;1,1154;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5577 ; 0,2788 ; 0,6971 ; 0,3485 ; 1,0456 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGROINDUSTRIA;PRODUCAO ALIMENTICIA;SIM;;2143566;AGROINDUSTRIA  06/03/2017 06/09/2020;06/03/2017;06/09/2020;2600;2400;2400;2,5;;1281;1,8735;683,8407;0,8548;;;01/01/2023;31/12/2023;11;0;0;0;0;182,5; 0,5000 ; 0,4274 ; 2,3507 ; 5,8768 ; 2,9384 ; 8,8151 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;PRODUCAO DE GRAOS;RECURSOS NATURAIS;SIM;;2143567;PRODUCAO DE GRAOS  06/03/2017 06/09/2020;06/03/2017;06/09/2020;2600;2400;2400;2,5;;1281;1,8735;683,8407;0,8548;;;01/01/2023;31/12/2023;10;0;0;0;0;182,5; 0,5000 ; 0,4274 ; 2,1370 ; 5,3425 ; 2,6713 ; 8,0138 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;CIENCIAS BIOLOGICAS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2143569;CIENCIAS BIOLOGICAS  06/03/2017 30/12/2020;06/03/2017;30/12/2020;3304;3200;3200;2,5;;1396;2,2923;836,6762;1,0458;;;01/01/2023;31/12/2023;4;0;0;0;0;182,5; 0,5000 ; 0,5229 ; 1,0458 ; 2,6146 ; -     ; 2,6146 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;MATEMATICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2143572;MATEMATICA  06/03/2017 30/12/2020;06/03/2017;30/12/2020;3376;3200;3200;2,5;;1396;2,2923;836,6762;1,0458;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5229 ; 0,2615 ; 0,6537 ; -     ; 0,6537 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;QUIMICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2143582;QUIMICA  06/03/2017 30/12/2020;06/03/2017;30/12/2020;3304;3200;3200;2,5;;1396;2,2923;836,6762;1,0458;;;01/01/2023;31/12/2023;3;0;0;0;0;182,5; 0,5000 ; 0,5229 ; 0,7844 ; 1,9610 ; -     ; 1,9610 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;ANALISE E DESENVOLVIMENTO DE SISTEMAS;INFORMACAO E COMUNICACAO;NÃO;;2143595;ANALISE E DESENVOLVIMENTO DE SISTEMAS  06/03/2017 30/12/2019;06/03/2017;30/12/2019;2360;2000;2000;1,5;;1030;1,9417;708,7379;0,8859;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,4430 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;2143608;ZOOTECNIA  06/03/2017 30/12/2021;06/03/2017;30/12/2021;3938;3600;3600;2,5;;1761;2,0443;746,1670;0,9327;;;01/01/2023;31/12/2023;16;0;0;0;0;182,5; 0,5000 ; 0,4664 ; 3,7308 ; 9,3271 ; 4,6635 ; 13,9906 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM AGROPECUARIA;RECURSOS NATURAIS;SIM;INTEGRADO;2479637;TECNICO EM AGROPECUARIA INTEGRADO 19/02/2018 15/12/2021;19/02/2018;15/12/2021;3400;1200;3200;2,5;;1396;2,2923;836,6762;1,0458;;;01/01/2023;31/12/2023;43;0;0;0;0;182,5; 0,5000 ; 0,5229 ; 11,2428 ; 28,1071 ; 14,0535 ; 42,1606 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;2479642;ZOOTECNIA  26/02/2018 15/12/2022;26/02/2018;15/12/2022;3938;3600;3600;2,5;;1754;2,0525;749,1448;0,9364;;;01/01/2023;31/12/2023;22;0;0;0;0;182,5; 0,5000 ; 0,4682 ; 5,1504 ; 12,8759 ; 6,4380 ; 19,3139 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ENGENHARIA AGRICOLA;RECURSOS NATURAIS;SIM;;2479645;ENGENHARIA AGRICOLA  26/02/2018 15/12/2022;26/02/2018;15/12/2022;3985;3600;3600;2,5;;1754;2,0525;749,1448;0,9364;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,4682 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;CIENCIAS BIOLOGICAS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2479648;CIENCIAS BIOLOGICAS  26/02/2018 15/12/2021;26/02/2018;15/12/2021;3304;3200;3200;2,5;;1389;2,3038;840,8927;1,0511;;;01/01/2023;31/12/2023;10;0;0;0;0;182,5; 0,5000 ; 0,5256 ; 2,6278 ; 6,5695 ; -     ; 6,5695 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;MATEMATICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2479651;MATEMATICA  26/02/2018 15/12/2021;26/02/2018;15/12/2021;3376;3200;3200;2,5;;1389;2,3038;840,8927;1,0511;;;01/01/2023;31/12/2023;9;0;0;0;0;182,5; 0,5000 ; 0,5256 ; 2,3650 ; 5,9125 ; -     ; 5,9125 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;QUIMICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2479653;QUIMICA  26/02/2018 15/12/2021;26/02/2018;15/12/2021;3304;3200;3200;2,5;;1389;2,3038;840,8927;1,0511;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5256 ; 0,2628 ; 0,6569 ; -     ; 0,6569 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;PRODUCAO DE GRAOS;RECURSOS NATURAIS;SIM;;2479655;PRODUCAO DE GRAOS  26/02/2018 15/02/2021;26/02/2018;15/02/2021;2600;2400;2400;2,5;;1086;2,2099;806,6298;1,0083;;;01/01/2023;31/12/2023;14;0;0;0;0;182,5; 0,5000 ; 0,5041 ; 3,5290 ; 8,8225 ; 4,4113 ; 13,2338 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;ANALISE E DESENVOLVIMENTO DE SISTEMAS;INFORMACAO E COMUNICACAO;NÃO;;2481667;ANALISE E DESENVOLVIMENTO DE SISTEMAS  12/03/2018 30/12/2020;12/03/2018;30/12/2020;2360;2000;2000;1,5;;1025;1,9512;712,1951;0,8902;;;01/01/2023;31/12/2023;4;0;0;0;0;182,5; 0,5000 ; 0,4451 ; 0,8902 ; 1,3354 ; -     ; 1,3354 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGROINDUSTRIA;PRODUCAO ALIMENTICIA;SIM;;2481668;AGROINDUSTRIA  12/03/2018 30/12/2020;12/03/2018;30/12/2020;2600;2400;2400;2,5;;1025;2,3415;854,6341;1,0683;;;01/01/2023;31/12/2023;5;0;0;0;0;182,5; 0,5000 ; 0,5341 ; 1,3354 ; 3,3384 ; 1,6692 ; 5,0076 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;CIENCIAS BIOLOGICAS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2569139;CIENCIAS BIOLOGICAS  16/01/2019 20/12/2022;16/01/2019;20/12/2022;3304;3200;3200;2,5;;1435;2,2300;813,9373;1,0174;;;01/01/2023;31/12/2023;20;0;0;0;0;182,5; 0,5000 ; 0,5087 ; 5,0871 ; 12,7178 ; -     ; 12,7178 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;MATEMATICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2569140;MATEMATICA  16/01/2019 20/12/2022;16/01/2019;20/12/2022;3376;3200;3200;2,5;;1435;2,2300;813,9373;1,0174;;;01/01/2023;31/12/2023;13;0;0;0;0;182,5; 0,5000 ; 0,5087 ; 3,3066 ; 8,2666 ; -     ; 8,2666 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;QUIMICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2569141;QUIMICA  16/01/2019 20/12/2022;16/01/2019;20/12/2022;3304;3200;3200;2,5;;1435;2,2300;813,9373;1,0174;;;01/01/2023;31/12/2023;7;0;0;0;0;182,5; 0,5000 ; 0,5087 ; 1,7805 ; 4,4512 ; -     ; 4,4512 ;PRESENCIAL;;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGROINDUSTRIA;PRODUCAO ALIMENTICIA;SIM;;2569142;AGROINDUSTRIA  16/01/2019 20/07/2022;16/01/2019;20/07/2022;2600;2400;2400;2,5;;1282;1,8721;683,3073;0,8541;;;01/01/2023;31/12/2023;4;0;0;0;0;182,5; 0,5000 ; 0,4271 ; 0,8541 ; 2,1353 ; 1,0677 ; 3,2030 ;PRESENCIAL;;;;;;;
